cik,industry,source_sector,ticker,company
1438533,biotech,Drugs (Biotechnology),NasdaqGM:TVTX,"Travere Therapeutics, Inc. (NasdaqGM:TVTX)"
1439222,biotech,Drugs (Biotechnology),NasdaqGS:AGIO,"Agios Pharmaceuticals, Inc. (NasdaqGS:AGIO)"
1442836,biotech,Drugs (Biotechnology),NasdaqGS:MRSN,"Mersana Therapeutics, Inc. (NasdaqGS:MRSN)"
1445815,biotech,Drugs (Biotechnology),OTCPK:BIXT,"Bioxytran, Inc. (OTCPK:BIXT)"
1446847,biotech,Drugs (Biotechnology),NasdaqGS:IRWD,"Ironwood Pharmaceuticals, Inc. (NasdaqGS:IRWD)"
1447028,biotech,Drugs (Biotechnology),NasdaqGS:ABUS,Arbutus Biopharma Corporation (NasdaqGS:ABUS)
1453687,biotech,Drugs (Biotechnology),NasdaqGM:RNAC,"Cartesian Therapeutics, Inc. (NasdaqGM:RNAC)"
1454789,biotech,Drugs (Biotechnology),NasdaqGM:ATXS,"Astria Therapeutics, Inc. (NasdaqGM:ATXS)"
1459450,biotech,Drugs (Biotechnology),OTCPK:MYRX,"Myrexis, Inc. (OTCPK:MYRX)"
1460602,biotech,Drugs (Biotechnology),OTCPK:ORGS,Orgenesis Inc. (OTCPK:ORGS)
1460702,biotech,Drugs (Biotechnology),NasdaqCM:AIXC,"AIxCrypto Holdings, Inc. (NasdaqCM:AIXC)"
1468748,biotech,Drugs (Biotechnology),NasdaqGM:KOD,Kodiak Sciences Inc. (NasdaqGM:KOD)
1472012,biotech,Drugs (Biotechnology),NasdaqCM:IMNM,"Immunome, Inc. (NasdaqCM:IMNM)"
1472091,biotech,Drugs (Biotechnology),NasdaqCM:PDSB,PDS Biotechnology Corporation (NasdaqCM:PDSB)
1476963,biotech,Drugs (Biotechnology),OTCPK:SCPX,"Scorpius Holdings, Inc. (OTCPK:SCPX)"
1477845,biotech,Drugs (Biotechnology),NYSE:ANVS,"Annovis Bio, Inc. (NYSE:ANVS)"
1479419,biotech,Drugs (Biotechnology),NasdaqCM:KALA,"KALA BIO, Inc. (NasdaqCM:KALA)"
1484565,biotech,Drugs (Biotechnology),NasdaqCM:SLNO,"Soleno Therapeutics, Inc. (NasdaqCM:SLNO)"
1485003,biotech,Drugs (Biotechnology),OTCPK:CARM,"Carisma Therapeutics, Inc. (OTCPK:CARM)"
1488039,biotech,Drugs (Biotechnology),NasdaqCM:ATOS,"Atossa Therapeutics, Inc. (NasdaqCM:ATOS)"
1492422,biotech,Drugs (Biotechnology),NasdaqGS:APLS,"Apellis Pharmaceuticals, Inc. (NasdaqGS:APLS)"
1492674,biotech,Drugs (Biotechnology),OTCPK:TTOO,"T2 Biosystems, Inc. (OTCPK:TTOO)"
1497253,biotech,Drugs (Biotechnology),NasdaqCM:VIVS,"VivoSim Labs, Inc. (NasdaqCM:VIVS)"
1498382,biotech,Drugs (Biotechnology),NasdaqCM:HURA,"TuHURA Biosciences, Inc. (NasdaqCM:HURA)"
1501697,biotech,Drugs (Biotechnology),NasdaqCM:XFOR,"X4 Pharmaceuticals, Inc. (NasdaqCM:XFOR)"
1501796,biotech,Drugs (Biotechnology),NasdaqGM:AURA,"Aura Biosciences, Inc. (NasdaqGM:AURA)"
1501989,biotech,Drugs (Biotechnology),NasdaqGS:CTMX,"CytomX Therapeutics, Inc. (NasdaqGS:CTMX)"
1503802,biotech,Drugs (Biotechnology),NasdaqGS:KPTI,Karyopharm Therapeutics Inc. (NasdaqGS:KPTI)
1505497,biotech,Drugs (Biotechnology),NasdaqCM:BRTX,"BioRestorative Therapies, Inc. (NasdaqCM:BRTX)"
1509261,biotech,Drugs (Biotechnology),NasdaqCM:RZLT,"Rezolute, Inc. (NasdaqCM:RZLT)"
1509745,biotech,Drugs (Biotechnology),NasdaqCM:CYPH,Cypherpunk Technologies Inc. (NasdaqCM:CYPH)
1512762,biotech,Drugs (Biotechnology),NasdaqGM:CHRS,"Coherus Oncology, Inc. (NasdaqGM:CHRS)"
1514183,biotech,Drugs (Biotechnology),NasdaqCM:SILO,"Silo Pharma, Inc. (NasdaqCM:SILO)"
1514946,biotech,Drugs (Biotechnology),OTCPK:AXIM,"AXIM Biotechnologies, Inc. (OTCPK:AXIM)"
1515673,biotech,Drugs (Biotechnology),NasdaqGS:RARE,Ultragenyx Pharmaceutical Inc. (NasdaqGS:RARE)
1515740,biotech,Drugs (Biotechnology),OTCPK:BIEI,"Premier Biomedical, Inc. (OTCPK:BIEI)"
1516551,biotech,Drugs (Biotechnology),NasdaqGM:SKYE,"Skye Bioscience, Inc. (NasdaqGM:SKYE)"
1517022,biotech,Drugs (Biotechnology),NasdaqCM:AKBA,"Akebia Therapeutics, Inc. (NasdaqCM:AKBA)"
1526119,biotech,Drugs (Biotechnology),NasdaqCM:VSTM,"Verastem, Inc. (NasdaqCM:VSTM)"
1527599,biotech,Drugs (Biotechnology),NasdaqCM:SYBX,"Synlogic, Inc. (NasdaqCM:SYBX)"
1527728,biotech,Drugs (Biotechnology),NasdaqCM:LNAI,Lunai Bioworks Inc. (NasdaqCM:LNAI)
1528115,biotech,Drugs (Biotechnology),NasdaqGS:ANNX,"Annexon, Inc. (NasdaqGS:ANNX)"
1528172,biotech,Drugs (Biotechnology),OTCPK:ENDV,"Endonovo Therapeutics, Inc. (OTCPK:ENDV)"
1533040,biotech,Drugs (Biotechnology),NasdaqCM:PHIO,Phio Pharmaceuticals Corp. (NasdaqCM:PHIO)
1534120,biotech,Drugs (Biotechnology),NasdaqCM:AVTX,"Avalo Therapeutics, Inc. (NasdaqCM:AVTX)"
1534525,biotech,Drugs (Biotechnology),NasdaqCM:XBIO,"Xenetic Biosciences, Inc. (NasdaqCM:XBIO)"
1534969,biotech,Drugs (Biotechnology),NasdaqGM:SERA,"Sera Prognostics, Inc. (NasdaqGM:SERA)"
1544227,biotech,Drugs (Biotechnology),NasdaqCM:TPST,"Tempest Therapeutics, Inc. (NasdaqCM:TPST)"
1549595,biotech,Drugs (Biotechnology),NasdaqGM:NRIX,"Nurix Therapeutics, Inc. (NasdaqGM:NRIX)"
1551152,biotech,Drugs (Biotechnology),NYSE:ABBV,AbbVie Inc. (NYSE:ABBV)
1557376,biotech,Drugs (Biotechnology),OTCPK:ZEOX,"Zeo ScientifiX, Inc. (OTCPK:ZEOX)"
1559356,biotech,Drugs (Biotechnology),OTCPK:BTAX,Biostax Corp. (OTCPK:BTAX)
1563577,biotech,Drugs (Biotechnology),OTCPK:GRTX,"Galera Therapeutics, Inc. (OTCPK:GRTX)"
1563665,biotech,Drugs (Biotechnology),OTCPK:HRGN,Harvard Apparatus Regenerative Technology Inc. (OTCPK:HRGN)
1567264,biotech,Drugs (Biotechnology),NasdaqCM:INTS,"Intensity Therapeutics, Inc. (NasdaqCM:INTS)"
1569340,biotech,Drugs (Biotechnology),OTCPK:CLCS,"Cell Source, Inc. (OTCPK:CLCS)"
1574094,biotech,Drugs (Biotechnology),NasdaqCM:RNXT,"RenovoRx, Inc. (NasdaqCM:RNXT)"
1576885,biotech,Drugs (Biotechnology),NasdaqGS:ABOS,"Acumen Pharmaceuticals, Inc. (NasdaqGS:ABOS)"
1580149,biotech,Drugs (Biotechnology),NasdaqCM:BIVI,BioVie Inc. (NasdaqCM:BIVI)
1581280,biotech,Drugs (Biotechnology),NasdaqGS:TWST,Twist Bioscience Corporation (NasdaqGS:TWST)
